ID,con_3,rob_1_maxVel,cam_1_Y.4,cam_1_Y.2,con_1.1,rob_2_3.4,rob_2_vacuum.1,rob_2_supply.4,con_1.3,rob_2_supply.3,cam_2_Y,EoL_2_X,cam_1_X2,rob_2_4.3,rob_1_1,rob_2_1.2,rob_2_supply.1,rob_2_maxVel.3,rob_2_maxVel.4,cam_3_X,rob_2_maxVel.2,rob_2_maxVel.1,rob_2_4.4,rob_2_supply.2,rob_2_1.1,rob_1_2,cam_1_Y.1,rob_2_4.2,EoL_5_X,rob_2_4.1,rob_2_3.3,EoL_2_Y,rob_2_3.2,cam_3_Y,rob_2_1.4,con_2,rob_2_3.1,rob_2_2.4,con_1.2,cam_1_Y.3,con_1.4,rob_2_2.2,EoL_1_X,rob_2_1.3,EoL_5_Y,rob_1_vacuum,EoL_4_X,rob_1_supply,EoL_4_Y,EoL_3_Y,cam_1_X3,rob_1_4,rob_1_3,EoL_1_Y,EoL_6_X,cam_1_X4,cam_2_X,rob_2_2.3,EoL_6_Y,EoL_3_X,rob_2_2.1,cam_1_X1
9,,1.990375547,,,,-5.275709332,89.85733092,99.89795083,,99.94255493,,,,1.169976095,-4.186275361,-3.134651362,99.64664195,1.997405457,2.002076422,,1.98387496,2.013153799,3.976343677,99.8678805,-1.863409383,4.720421949,,3.910078278,,2.079329363,-1.167997665,,-5.16891599,,-3.203996788,,-2.50021621,4.222699791,,,,4.126544109,,-2.636672994,,89.80752676,,99.63047794,,,,3.227196137,-3.733269082,,,,,3.636000366,,,2.524958338,
9,,1.971557092,,,,-0.726373602,89.85733092,99.55498136,,99.94255493,,,,-0.285039164,-0.520126236,-2.391742709,99.64664195,2.008021383,1.980508747,,1.964090798,2.01710303,2.117904967,99.8678805,0,0.328195628,,0.779404125,,0,1.135688723,,-1.344132831,,-3.218155126,,0,3.978298905,,,,3.443936302,,-5.779460931,,89.91682418,,99.8322026,,,,2.269112443,-2.750851346,,,,,8.849893529,,,0,
9,,1.971557092,,,,1.783386539,89.85733092,99.55498136,,99.8689372,,,,-1.609086628,1.286933427,-5.52902274,99.64664195,1.986360402,2.015309641,,1.996847264,1.994067864,1.121680232,99.8678805,-1.989570366,-2.21366587,,-0.630762315,,0.154464592,3.690588545,,0.493604279,,-6.80683596,,-1.402383428,8.430398001,,,,9.125325974,,-5.629163754,,89.91682418,,99.8322026,,,,5.405938816,-6.996660768,,,,,9.279876007,,,3.084039986,
9,,2.003395153,,,,4.0718921,89.85733092,99.55498136,,99.8689372,,,,-2.912449254,2.585365833,-5.257161135,99.64664195,2.019097177,1.989273588,,1.984192978,1.994067864,-0.29249213,99.7271463,-4.59842398,-4.182715809,,-1.938944916,,-1.713794477,6.179273816,,3.221762287,,-7.140132664,,0.283336828,7.619137962,,,,10.24079213,,-5.010006296,,89.91682418,,99.8322026,,,,5.115725652,-6.881813136,,,,,7.996165295,,,8.708320258,
9,,1.971557092,,,,5.849037743,89.85733092,99.55498136,,99.8689372,,,,-4.092665529,3.777657758,-4.526427428,99.64664195,2.006293244,2.000289932,,2.013635065,1.994067864,-2.010712908,99.56309299,-4.00599992,-5.749058773,,-3.169897797,,-2.890357338,7.529540668,,6.366587827,,-7.091216361,,3.211482601,5.625580242,,,,9.483854127,,-4.089023437,,89.91682418,,99.8322026,,,,4.264428743,-5.668995933,,,,,5.251633133,,,10.50765016,
9,,2.00331919,,,,6.596265794,89.85733092,99.55498136,,99.8689372,,,,-4.357797178,4.753882255,-3.497269102,99.64664195,1.980416552,2.027245434,,2.013635065,1.994067864,-3.93370577,99.56309299,-3.027294842,-6.601785566,,-3.993474819,,-3.879014747,6.71360602,,7.926259199,,-6.399589842,,7.175250067,3.077602502,,,,6.307102973,,-2.893300714,,89.91682418,,99.8322026,,,,3.170668542,-3.828465825,,,,,2.25444841,,,10.59908138,
9,,1.971557092,,,,2.982001979,89.85733092,99.98184668,,99.64190825,,,,-1.324575511,3.420523163,-0.445270294,99.64664195,2.010682443,2.012374208,,1.996259728,1.994067864,-1.772935334,99.56309299,-1.950190693,-4.453944688,,-1.852904159,,-4.648320359,1.802710932,,3.3112795,,-3.845740908,,10.01134119,0.328674936,,,,-0.034573097,,6.98E-05,,89.91682418,,99.8322026,,,,1.767810994,-1.456897714,,,,,-0.862377241,,,7.421238344,
9,,1.971557092,,,,0.999391235,89.85733092,99.98184668,,99.64190825,,,,-2.280732052,0.999327571,3.512994844,99.64664195,2.007057172,2.000289932,,1.997129289,1.994067864,-1.303071074,99.56309299,-0.808525043,-1.179416201,,-2.313920079,,-4.726364128,2.726456126,,3.544824035,,2.480139902,,9.040125094,-2.049655968,,,,-7.727590563,,4.000179478,,89.91682418,,99.8322026,,,,-1.077775185,1.635835915,,,,,-6.38774091,,,3.198895181,
9,,1.977027811,,,,3.245619524,89.85733092,99.98184668,,99.64190825,,,,-3.099269475,3.235160992,3.827187678,99.64664195,2.010682443,1.991734108,,2.012307411,1.994067864,-3.9404796,99.56309299,0.466078971,-3.62539473,,-3.033628332,,-1.500584311,3.666401445,,4.248891558,,6.36716823,,2.476259079,-5.390674312,,,,-6.860351133,,4.181292786,,89.91682418,,99.8322026,,,,-4.331430936,5.390351943,,,,,-6.017721879,,,-1.015851001,
9,,1.977027811,,,,0,89.85733092,99.98184668,,99.64190825,,,,0,0,0,99.53897349,2.00305398,2.009064358,,1.996841644,1.990562543,0,99.56309299,3.323888952,0,,0,,-2.295272647,0,,0,,0,,3.488490947,0,,,,0,,0,,89.91682418,,99.8322026,,,,0,0,,,,,0,,,-8.336843644,
