ID,con_3,rob_1_maxVel,cam_1_Y.4,cam_1_Y.2,con_1.1,con_1.3,cam_2_Y,EoL_2_X,cam_1_X2,rob_2_vacuum.1,rob_1_1,rob_2_1.2,rob_2_supply.1,rob_2_maxVel.3,rob_2_supply.4,cam_3_X,rob_2_supply.3,rob_2_maxVel.2,rob_2_maxVel.4,rob_2_supply.2,rob_2_1.1,rob_1_2,cam_1_Y.1,rob_2_maxVel.1,EoL_5_X,rob_2_4.3,rob_2_4.2,EoL_2_Y,rob_2_4.1,cam_3_Y,rob_2_3.3,con_2,rob_2_3.2,rob_2_3.1,con_1.2,cam_1_Y.3,con_1.4,rob_2_2.2,EoL_1_X,rob_2_1.3,EoL_5_Y,rob_1_vacuum,EoL_4_X,rob_1_supply,EoL_4_Y,EoL_3_Y,cam_1_X3,rob_1_4,rob_1_3,EoL_1_Y,EoL_6_X,cam_1_X4,cam_2_X,rob_2_2.3,EoL_6_Y,EoL_3_X,rob_2_2.1,cam_1_X1,rob_2_3.4,rob_2_4.4,rob_2_1.4,rob_2_2.4
9,,1.958502085,,,,,,,,0,3.693606998,2.091780551,99.68875496,0.708021383,99.55498136,,99.59989033,0.711745453,0.743739988,99.59953857,2.575182992,-5.6376503,,0.716408268,,-2.35293783,0.998462105,,0.099738124,,2.226370401,,0.263519901,-0.536594041,,,,-2.739202804,,2.283739094,,89.91682418,,99.51727546,,,,4.240380217,-5.640974702,,,,,-2.075101353,,,-2.461276865,,,,,
9,,1.971557092,,,,,,,,90.06789647,4.654602544,2.279079902,99.84864149,0.697405457,99.66087768,,99.59989033,0.711745453,0.664631809,99.59953857,2.558304741,-6.494649396,,0.716408268,,-2.406986138,0.850476179,,-0.002170749,,2.427722931,,0.535100449,-0.266040808,,,,-2.710297937,,2.590149583,,89.91682418,,99.8322026,,,,3.182786211,-3.85981984,,,,,-2.421129119,,,-2.528391251,,,,,
9,,1.971557092,,,,,,,,90.06789647,3.611782721,2.097935216,99.63896655,0.696538369,99.66087768,,99.59989033,0.707240645,0.713742205,99.59953857,1.994110175,-4.699191837,,0.713153799,,0,-1.145853031,,-1.455404394,,0,,1.602293311,1.408424831,,,,-2.118537135,,0,,89.91682418,,99.8322026,,,,1.830878957,-1.571921417,,,,,0,,,-1.977012656,,,,,
9,,2.00331919,,,,,,,,90.06789647,1.081778663,2.047796712,99.84864149,0.708021383,99.55498136,,99.59989033,0.707240645,0.680508747,99.59953857,1.733844584,-1.279146536,,0.695449899,,1.789090458,-2.032985193,,-2.196504502,,-1.2481394,,2.220995685,2.28886229,,,,-1.996052698,,-1.384965729,,89.91682418,,99.8322026,,,,-1.063158515,1.624522223,,,,,1.230303044,,,-1.741283701,,,,,
9,,1.971557092,,,,,,,,90.06789647,3.226394658,2.307951691,99.84864149,0.727005401,99.79475371,,99.62941745,0.707240645,0.672230355,99.59953857,1.960748805,-3.621378943,,0.716408268,,2.847940793,-2.099785716,,-2.220285328,,-1.894079452,,2.380532212,2.435038658,,,,-2.277095944,,-2.013132962,,89.91682418,,99.8322026,,,,-4.311133807,5.388951705,,,,,1.696373504,,,-2.021480642,,,,,
9,,1.977027811,,,,,,,,90.06789647,0,0,99.59827586,0.708021383,99.90305196,,99.62941745,0.707240645,0.687197291,99.59953857,0,0,,0.698751829,,1.063603069,0,,0,,-0.876261713,,0,0,,,,0,,-2.588817453,,89.91682418,,99.8322026,,,,0,0,,,,,2.207133335,,,0,,,,,
9,,1.967174337,,,,,,,,90.06789647,-1.497502363,-1.300695313,99.59827586,0.708021383,99.90305196,,99.62941745,0.708451954,0.721885041,99.59953857,-1.290041014,1.652157775,,0.716408268,,0.070563582,1.670732217,,1.636905084,,-0.166614505,,-1.239668991,-1.333815495,,,,1.198339729,,-3.115292812,,89.91682418,,99.8322026,,,,1.858669929,-2.083307648,,,,,2.646411556,,,1.261563351,,,,,
9,,1.967174337,,,,,,,,90.06789647,,-1.866633902,99.59827586,0.751581378,99.90305196,,99.62941745,0.713635065,0.685654949,99.56309299,-1.863548559,,,0.702405475,,-0.135477135,2.603775182,,2.558558488,,0.043485121,,-1.859425987,-2.0327969,,,,1.641739967,,-3.062255733,,89.91682418,,99.8322026,,,,,,,,,,2.580508644,,,1.748694542,,,,,
9,,1.967174337,,,,,,,,90.06789647,,-2.418195153,99.59827586,0.738402777,99.90305196,,99.91486949,0.696259728,0.700289932,99.56309299,-2.222500178,,,0.697182689,,-0.363195423,0.8904777,,0.604794685,,0.250209856,,-1.044919737,-1.199080801,,,,2.2417419,,-3.00519928,,89.91682418,,99.8322026,,,,,,,,,,2.535162121,,,2.318307963,,,,,
9,,1.967174337,,,,,,,,90.06789647,,-2.852083309,99.89024908,0.738402777,99.90305196,,99.91486949,0.709456145,0.685244311,99.56309299,-2.478986923,,,0.695621932,,-0.607817604,-0.010157144,,-0.519835888,,0.463741355,,-0.507844651,-0.663253745,,,,2.739131612,,-2.930349392,,89.91682418,,99.8322026,,,,,,,,,,2.49457064,,,2.870409576,,,,,
