assembly,cam 1,cam 2,cam 3,pick 1,place 1,pick 2,place 2,cam EoL
6,0.0,0.0,0.0,0.0,53.34999999999911,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,53.3999999999991,0.0,0.0
7,54.69999999999903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,55.04999999999901,0.0
5,0.0,0.0,0.0,0.0,0.0,55.34999999999899,0.0,0.0
7,0.0,55.54999999999898,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,55.59999999999898,0.0,0.0,0.0,0.0,0.0
7,56.69999999999892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,56.74999999999891,0.0
5,0.0,0.0,0.0,0.0,0.0,57.34999999999888,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.79999999999885
7,58.6999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,58.7499999999988,0.0
5,0.0,0.0,0.0,0.0,0.0,59.349999999998765,0.0,0.0
7,0.0,0.0,0.0,59.99999999999873,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,60.749999999998685,0.0
8,60.749999999998685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,61.34999999999865,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,61.39999999999865,0.0,0.0
8,62.74999999999857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,63.09999999999855,0.0
6,0.0,0.0,0.0,0.0,0.0,63.34999999999854,0.0,0.0
8,0.0,63.59999999999852,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,63.64999999999852,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,64.74999999999847,0.0
8,64.74999999999847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
