assembly,cam 1,cam 2,cam 3,pick 1,place 1,cam EoL
5,0.0,0.0,0.0,43.94999999999964,0.0,0.0
6,45.19999999999957,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,45.29999999999957,0.0
6,0.0,46.09999999999952,0.0,0.0,0.0,0.0
6,0.0,0.0,46.09999999999952,0.0,0.0,0.0
6,47.199999999999456,0.0,0.0,0.0,0.0,0.0
6,49.19999999999934,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,49.79999999999931
7,51.249999999999226,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,51.94999999999919,0.0,0.0
7,53.24999999999911,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,53.29999999999911,0.0
7,0.0,54.09999999999906,0.0,0.0,0.0,0.0
7,0.0,0.0,54.14999999999906,0.0,0.0,0.0
7,55.249999999999,0.0,0.0,0.0,0.0,0.0
7,57.24999999999888,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,57.79999999999885
8,59.29999999999877,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,59.99999999999873,0.0,0.0
8,61.299999999998654,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,61.34999999999865,0.0
8,0.0,62.149999999998606,0.0,0.0,0.0,0.0
8,0.0,0.0,62.1999999999986,0.0,0.0,0.0
8,63.29999999999854,0.0,0.0,0.0,0.0,0.0
8,65.29999999999843,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,65.7999999999984
9,67.34999999999832,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,67.99999999999828,0.0,0.0
8,0.0,0.0,0.0,0.0,69.3499999999982,0.0
9,69.3499999999982,0.0,0.0,0.0,0.0,0.0
9,0.0,70.19999999999816,0.0,0.0,0.0,0.0
9,0.0,0.0,70.24999999999815,0.0,0.0,0.0
9,71.34999999999809,0.0,0.0,0.0,0.0,0.0
9,73.34999999999798,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,73.84999999999795
10,75.39999999999786,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,75.99999999999783,0.0,0.0
9,0.0,0.0,0.0,0.0,77.34999999999775,0.0
10,77.39999999999775,0.0,0.0,0.0,0.0,0.0
10,0.0,78.2999999999977,0.0,0.0,0.0,0.0
10,0.0,0.0,78.2999999999977,0.0,0.0,0.0
10,79.39999999999763,0.0,0.0,0.0,0.0,0.0
10,81.39999999999752,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,81.89999999999749
11,83.4499999999974,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,84.04999999999737,0.0,0.0
10,0.0,0.0,0.0,0.0,85.39999999999729,0.0
11,85.44999999999729,0.0,0.0,0.0,0.0,0.0
11,0.0,86.29999999999724,0.0,0.0,0.0,0.0
11,0.0,0.0,86.34999999999724,0.0,0.0,0.0
11,87.44999999999717,0.0,0.0,0.0,0.0,0.0
11,89.44999999999706,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,89.94999999999703
12,91.49999999999694,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,92.04999999999691,0.0,0.0
11,0.0,0.0,0.0,0.0,93.39999999999684,0.0
12,93.49999999999685,0.0,0.0,0.0,0.0,0.0
12,0.0,94.39999999999678,0.0,0.0,0.0,0.0
12,0.0,0.0,94.39999999999678,0.0,0.0,0.0
12,95.49999999999672,0.0,0.0,0.0,0.0,0.0
12,97.4999999999966,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,97.99999999999658
13,99.54999999999649,0.0,0.0,0.0,0.0,0.0
